// TABLE Article

artnr,  description,    price
1,      apple,          0.5
2,      banana,         0.8
3,      pear,           1.0
4,      Kiwi,           1.2


// TABLE Order

ordnr, kdnr,   date
100,    1,      2015-01-01 08:00:00
101,    1,      2015-01-02 09:00:00
102,    2,      2015-01-03 10:00:00

//TABLE Order position

ordnr, pos,    article,     text,       amount,     price
100,    1,      1,          apple,      5,          0.5
100,    2,      2,          banana,     1,          0.8
100,    3,      3,          Kiwi,       3,          1.2

101,    1,      1,          apple,      2,          0.5
101,    2,      2,          pear,       9,          1.0

102,    1,      1,          apple,      1,          0.5

// TABLE Customer

cnr,   lastname,   firstname
1,      Maier,      Franz
2,      Huber,      Sepp
